Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Kevin Bordian,Leslie Bory,Paolo Fabrizio,Julian Fantino,Tony Genco,Brian Jedan,Claudia Rodriguez-Larrain,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Vaughan/Vaughan"," 193","Vaughan",0,0,1,1,37,78,0,0,0,117,348
35096,"Vaughan/Vaughan"," 194","Vaughan",0,0,1,1,78,87,0,3,0,170,448
35096,"Vaughan/Vaughan"," 195","Vaughan",0,0,0,0,81,55,0,1,1,138,340
35096,"Vaughan/Vaughan"," 196","Vaughan",0,1,0,1,75,91,0,0,0,168,388
35096,"Vaughan/Vaughan"," 197","Vaughan",2,1,0,1,52,62,0,2,0,120,424
35096,"Vaughan/Vaughan"," 198","Vaughan",2,1,0,0,78,38,0,2,2,123,568
35096,"Vaughan/Vaughan"," 199","Vaughan",0,0,0,0,66,36,0,2,1,105,393
35096,"Vaughan/Vaughan"," 200","Vaughan",0,0,1,0,78,78,0,2,2,161,367
35096,"Vaughan/Vaughan"," 201","Vaughan",0,2,2,1,95,60,0,2,0,162,403
35096,"Vaughan/Vaughan"," 202","Vaughan",0,2,1,1,142,68,0,2,0,216,414
35096,"Vaughan/Vaughan"," 203","Vaughan",1,0,1,1,106,58,0,3,2,172,574
35096,"Vaughan/Vaughan"," 204","Vaughan",0,2,0,1,77,40,0,3,0,123,339
35096,"Vaughan/Vaughan"," 205","Vaughan",0,0,0,0,62,44,0,0,0,106,409
35096,"Vaughan/Vaughan"," 206","Vaughan",0,1,0,0,46,37,0,3,0,87,354
35096,"Vaughan/Vaughan"," 207","Vaughan",0,2,0,1,49,32,0,4,0,88,263
35096,"Vaughan/Vaughan"," 208","Vaughan",0,4,0,0,50,65,0,0,2,121,320
35096,"Vaughan/Vaughan"," 209","Vaughan",0,0,0,0,80,79,0,0,2,161,428
35096,"Vaughan/Vaughan"," 210","Vaughan",0,3,0,0,67,88,0,0,0,158,415
35096,"Vaughan/Vaughan"," 211","Vaughan",0,1,0,0,74,63,0,2,3,143,358
35096,"Vaughan/Vaughan"," 212","Vaughan",0,0,0,0,98,69,0,1,0,168,412
35096,"Vaughan/Vaughan"," 213","Vaughan",0,0,1,1,87,75,0,1,2,167,461
35096,"Vaughan/Vaughan"," 214","Vaughan",0,0,0,2,56,28,0,3,0,89,408
35096,"Vaughan/Vaughan"," 215","Vaughan",1,0,0,0,95,59,0,1,1,157,363
35096,"Vaughan/Vaughan"," 216","Vaughan",3,3,0,1,75,78,0,0,0,160,418
35096,"Vaughan/Vaughan"," 217","Vaughan",1,2,0,0,42,57,0,0,1,103,255
35096,"Vaughan/Vaughan"," 218","Vaughan",0,4,1,0,55,69,0,2,0,131,459
35096,"Vaughan/Vaughan"," 219","Vaughan",0,1,1,0,52,79,0,1,0,134,409
35096,"Vaughan/Vaughan"," 220","Vaughan",0,3,0,2,76,102,0,0,1,184,468
35096,"Vaughan/Vaughan"," 221","Vaughan",0,8,0,1,87,67,2,2,0,167,497
35096,"Vaughan/Vaughan"," 222","Vaughan",1,2,1,0,77,110,0,4,1,196,472
35096,"Vaughan/Vaughan"," 223","Vaughan",0,3,1,2,89,114,1,1,2,213,492
35096,"Vaughan/Vaughan"," 224","Vaughan",0,0,0,1,70,85,0,3,1,160,450
35096,"Vaughan/Vaughan"," 225","Vaughan",0,0,2,3,69,79,0,1,0,154,422
35096,"Vaughan/Vaughan"," 226","Vaughan",0,6,1,1,64,70,1,2,0,145,442
35096,"Vaughan/Vaughan"," 227","Vaughan",0,0,0,0,47,52,0,0,1,100,286
35096,"Vaughan/Vaughan"," 228","Vaughan",0,0,0,0,68,66,0,0,0,134,344
35096,"Vaughan/Vaughan"," 229","Vaughan",0,2,0,4,83,91,0,1,3,184,571
35096,"Vaughan/Vaughan"," 230","Vaughan",1,0,1,3,94,102,0,1,2,204,458
35096,"Vaughan/Vaughan"," 231","Vaughan",0,2,0,1,87,88,0,0,0,178,510
35096,"Vaughan/Vaughan"," 232","Vaughan",1,2,0,1,82,88,1,2,3,180,384
