Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,593,"Bawa","","Baljit","People's Party - PPC","Parti populaire - PPC",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,593,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,593,"Chang","","Brian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,23
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,593,"Clarke","","Kevin","Independent","Indépendant(e)",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,593,"Ien","","Marci","Liberal","Libéral",N,Y,44
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,593,"Komar","","Keith","Libertarian","Libertarien",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,593,"Paul","","Annamie","Green Party","Parti Vert",N,N,21
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,593,"Sharma","","Benjamin Gauri","Conservative","Conservateur",N,N,3
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,593,"Znoneofthe","","Above","No Affiliation","Aucune appartenance",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",0,419,"Bawa","","Baljit","People's Party - PPC","Parti populaire - PPC",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",0,419,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",0,419,"Chang","","Brian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,31
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",0,419,"Clarke","","Kevin","Independent","Indépendant(e)",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",0,419,"Ien","","Marci","Liberal","Libéral",N,Y,47
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",0,419,"Komar","","Keith","Libertarian","Libertarien",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",0,419,"Paul","","Annamie","Green Party","Parti Vert",N,N,45
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",0,419,"Sharma","","Benjamin Gauri","Conservative","Conservateur",N,N,10
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",0,419,"Znoneofthe","","Above","No Affiliation","Aucune appartenance",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"",0,316,"Bawa","","Baljit","People's Party - PPC","Parti populaire - PPC",N,N,3
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"",0,316,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"",0,316,"Chang","","Brian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,45
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"",0,316,"Clarke","","Kevin","Independent","Indépendant(e)",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"",0,316,"Ien","","Marci","Liberal","Libéral",N,Y,48
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"",0,316,"Komar","","Keith","Libertarian","Libertarien",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"",0,316,"Paul","","Annamie","Green Party","Parti Vert",N,N,46
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"",0,316,"Sharma","","Benjamin Gauri","Conservative","Conservateur",N,N,5
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"",0,316,"Znoneofthe","","Above","No Affiliation","Aucune appartenance",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"3",0,393,"Bawa","","Baljit","People's Party - PPC","Parti populaire - PPC",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"3",0,393,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"3",0,393,"Chang","","Brian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"3",0,393,"Clarke","","Kevin","Independent","Indépendant(e)",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"3",0,393,"Ien","","Marci","Liberal","Libéral",N,Y,0
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"3",0,393,"Komar","","Keith","Libertarian","Libertarien",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"3",0,393,"Paul","","Annamie","Green Party","Parti Vert",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"3",0,393,"Sharma","","Benjamin Gauri","Conservative","Conservateur",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"3",0,393,"Znoneofthe","","Above","No Affiliation","Aucune appartenance",N,N,0
