Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35118,"York Centre","York-Centre"," 1","North York",N,N,"",1,533,"Bernier","","Max","People's Party - PPC","Parti populaire - PPC",N,N,3
35118,"York Centre","York-Centre"," 1","North York",N,N,"",1,533,"Saks","","Ya'ara","Liberal","Libéral",N,Y,27
35118,"York Centre","York-Centre"," 1","North York",N,N,"",1,533,"Tiangson","","Julius","Conservative","Conservateur",N,N,45
35118,"York Centre","York-Centre"," 1","North York",N,N,"",1,533,"Turmel","","John The Engineer","Independent","Indépendant(e)",N,N,0
35118,"York Centre","York-Centre"," 1","North York",N,N,"",1,533,"Vásquez Jiménez","","Andrea","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
35118,"York Centre","York-Centre"," 1","North York",N,N,"",1,533,"Zavarella","","Sasha","Green Party","Parti Vert",N,N,1
35118,"York Centre","York-Centre"," 2","North York",N,N,"",1,464,"Bernier","","Max","People's Party - PPC","Parti populaire - PPC",N,N,4
35118,"York Centre","York-Centre"," 2","North York",N,N,"",1,464,"Saks","","Ya'ara","Liberal","Libéral",N,Y,20
35118,"York Centre","York-Centre"," 2","North York",N,N,"",1,464,"Tiangson","","Julius","Conservative","Conservateur",N,N,42
35118,"York Centre","York-Centre"," 2","North York",N,N,"",1,464,"Turmel","","John The Engineer","Independent","Indépendant(e)",N,N,0
