Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 1","Saint-Honoré",N,N,"",1,290,"Boivin","","Lina","Liberal","Libéral",N,N,25
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 1","Saint-Honoré",N,N,"",1,290,"Bouchard-Tremblay","","Catherine","Bloc Québécois","Bloc Québécois",N,N,9
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 1","Saint-Honoré",N,N,"",1,290,"Dubois","","Éric","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,8
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 1","Saint-Honoré",N,N,"",1,290,"Martel","","Richard","Conservative","Conservateur",N,Y,44
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 1","Saint-Honoré",N,N,"",1,290,"Turmel","","John The Engineer","Independent","Indépendant",N,N,0
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 1","Saint-Honoré",N,N,"",1,290,"Youde","","Lynda","Green Party","Parti Vert",N,N,1
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 2","Saguenay",Y,N,"",0,0,"Boivin","","Lina","Liberal","Libéral",N,N,0
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 2","Saguenay",Y,N,"",0,0,"Bouchard-Tremblay","","Catherine","Bloc Québécois","Bloc Québécois",N,N,0
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 2","Saguenay",Y,N,"",0,0,"Dubois","","Éric","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 2","Saguenay",Y,N,"",0,0,"Martel","","Richard","Conservative","Conservateur",N,Y,0
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 2","Saguenay",Y,N,"",0,0,"Turmel","","John The Engineer","Independent","Indépendant",N,N,0
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 2","Saguenay",Y,N,"",0,0,"Youde","","Lynda","Green Party","Parti Vert",N,N,0
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 3","Saguenay",N,N,"",1,385,"Boivin","","Lina","Liberal","Libéral",N,N,28
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 3","Saguenay",N,N,"",1,385,"Bouchard-Tremblay","","Catherine","Bloc Québécois","Bloc Québécois",N,N,6
24022,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord"," 3","Saguenay",N,N,"",1,385,"Dubois","","Éric","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,14
