Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
59003,"Burnaby South","Burnaby-Sud"," 1","Burnaby",N,N,"",0,484,"Grimwood","","Terry","Independent","Indépendant(e)",N,N,2
59003,"Burnaby South","Burnaby-Sud"," 1","Burnaby",N,N,"",0,484,"Lee","","Richard T.","Liberal","Libéral",N,N,16
59003,"Burnaby South","Burnaby-Sud"," 1","Burnaby",N,N,"",0,484,"Shin","","Jay","Conservative","Conservateur",N,N,14
59003,"Burnaby South","Burnaby-Sud"," 1","Burnaby",N,N,"",0,484,"Singh","","Jagmeet","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,16
59003,"Burnaby South","Burnaby-Sud"," 1","Burnaby",N,N,"",0,484,"Thompson","","Laura-Lynn","People's Party","Parti populaire",N,N,5
59003,"Burnaby South","Burnaby-Sud"," 1","Burnaby",N,N,"",0,484,"Wu","","Valentine","Independent","Indépendant(e)",N,N,0
59003,"Burnaby South","Burnaby-Sud"," 2","Burnaby",N,N,"",0,494,"Grimwood","","Terry","Independent","Indépendant(e)",N,N,0
59003,"Burnaby South","Burnaby-Sud"," 2","Burnaby",N,N,"",0,494,"Lee","","Richard T.","Liberal","Libéral",N,N,15
59003,"Burnaby South","Burnaby-Sud"," 2","Burnaby",N,N,"",0,494,"Shin","","Jay","Conservative","Conservateur",N,N,9
59003,"Burnaby South","Burnaby-Sud"," 2","Burnaby",N,N,"",0,494,"Singh","","Jagmeet","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,19
59003,"Burnaby South","Burnaby-Sud"," 2","Burnaby",N,N,"",0,494,"Thompson","","Laura-Lynn","People's Party","Parti populaire",N,N,7
59003,"Burnaby South","Burnaby-Sud"," 2","Burnaby",N,N,"",0,494,"Wu","","Valentine","Independent","Indépendant(e)",N,N,0
59003,"Burnaby South","Burnaby-Sud"," 3","Burnaby",N,N,"",0,265,"Grimwood","","Terry","Independent","Indépendant(e)",N,N,0
59003,"Burnaby South","Burnaby-Sud"," 3","Burnaby",N,N,"",0,265,"Lee","","Richard T.","Liberal","Libéral",N,N,12
59003,"Burnaby South","Burnaby-Sud"," 3","Burnaby",N,N,"",0,265,"Shin","","Jay","Conservative","Conservateur",N,N,8
59003,"Burnaby South","Burnaby-Sud"," 3","Burnaby",N,N,"",0,265,"Singh","","Jagmeet","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,10
59003,"Burnaby South","Burnaby-Sud"," 3","Burnaby",N,N,"",0,265,"Thompson","","Laura-Lynn","People's Party","Parti populaire",N,N,3
59003,"Burnaby South","Burnaby-Sud"," 3","Burnaby",N,N,"",0,265,"Wu","","Valentine","Independent","Indépendant(e)",N,N,0
59003,"Burnaby South","Burnaby-Sud"," 4A","Burnaby",N,N,"",0,629,"Grimwood","","Terry","Independent","Indépendant(e)",N,N,0
59003,"Burnaby South","Burnaby-Sud"," 4A","Burnaby",N,N,"",0,629,"Lee","","Richard T.","Liberal","Libéral",N,N,18
59003,"Burnaby South","Burnaby-Sud"," 4A","Burnaby",N,N,"",0,629,"Shin","","Jay","Conservative","Conservateur",N,N,14
59003,"Burnaby South","Burnaby-Sud"," 4A","Burnaby",N,N,"",0,629,"Singh","","Jagmeet","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,11
59003,"Burnaby South","Burnaby-Sud"," 4A","Burnaby",N,N,"",0,629,"Thompson","","Laura-Lynn","People's Party","Parti populaire",N,N,4
59003,"Burnaby South","Burnaby-Sud"," 4A","Burnaby",N,N,"",0,629,"Wu","","Valentine","Independent","Indépendant(e)",N,N,0
59003,"Burnaby South","Burnaby-Sud"," 4B","Burnaby",N,N,"",0,662,"Grimwood","","Terry","Independent","Indépendant(e)",N,N,0
59003,"Burnaby South","Burnaby-Sud"," 4B","Burnaby",N,N,"",0,662,"Lee","","Richard T.","Liberal","Libéral",N,N,14
59003,"Burnaby South","Burnaby-Sud"," 4B","Burnaby",N,N,"",0,662,"Shin","","Jay","Conservative","Conservateur",N,N,20
59003,"Burnaby South","Burnaby-Sud"," 4B","Burnaby",N,N,"",0,662,"Singh","","Jagmeet","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,20
59003,"Burnaby South","Burnaby-Sud"," 4B","Burnaby",N,N,"",0,662,"Thompson","","Laura-Lynn","People's Party","Parti populaire",N,N,13
59003,"Burnaby South","Burnaby-Sud"," 4B","Burnaby",N,N,"",0,662,"Wu","","Valentine","Independent","Indépendant(e)",N,N,0
59003,"Burnaby South","Burnaby-Sud"," 5","Burnaby",N,N,"",0,511,"Grimwood","","Terry","Independent","Indépendant(e)",N,N,1
59003,"Burnaby South","Burnaby-Sud"," 5","Burnaby",N,N,"",0,511,"Lee","","Richard T.","Liberal","Libéral",N,N,39
59003,"Burnaby South","Burnaby-Sud"," 5","Burnaby",N,N,"",0,511,"Shin","","Jay","Conservative","Conservateur",N,N,19
59003,"Burnaby South","Burnaby-Sud"," 5","Burnaby",N,N,"",0,511,"Singh","","Jagmeet","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,Y,39
59003,"Burnaby South","Burnaby-Sud"," 5","Burnaby",N,N,"",0,511,"Thompson","","Laura-Lynn","People's Party","Parti populaire",N,N,7
