Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24054,"Outremont","Outremont"," 1","Montréal",N,N,"",0,509,"Barrett","","William","Independent","Indépendant(e)",N,N,0
24054,"Outremont","Outremont"," 1","Montréal",N,N,"",0,509,"Bendayan","","Rachel","Liberal","Libéral",N,Y,26
24054,"Outremont","Outremont"," 1","Montréal",N,N,"",0,509,"Duchesne","","Michel","Bloc Québécois","Bloc Québécois",N,N,15
24054,"Outremont","Outremont"," 1","Montréal",N,N,"",0,509,"Green","","Daniel","Green Party","Parti Vert",N,N,8
24054,"Outremont","Outremont"," 1","Montréal",N,N,"",0,509,"Louras","","Jasmine","Conservative","Conservateur",N,N,3
24054,"Outremont","Outremont"," 1","Montréal",N,N,"",0,509,"Sánchez","","Julia","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,16
24054,"Outremont","Outremont"," 1","Montréal",N,N,"",0,509,"Seale","","James","People's Party","Parti populaire",N,N,0
24054,"Outremont","Outremont"," 2","Montréal",N,N,"",0,475,"Barrett","","William","Independent","Indépendant(e)",N,N,0
24054,"Outremont","Outremont"," 2","Montréal",N,N,"",0,475,"Bendayan","","Rachel","Liberal","Libéral",N,Y,12
24054,"Outremont","Outremont"," 2","Montréal",N,N,"",0,475,"Duchesne","","Michel","Bloc Québécois","Bloc Québécois",N,N,7
24054,"Outremont","Outremont"," 2","Montréal",N,N,"",0,475,"Green","","Daniel","Green Party","Parti Vert",N,N,19
24054,"Outremont","Outremont"," 2","Montréal",N,N,"",0,475,"Louras","","Jasmine","Conservative","Conservateur",N,N,3
24054,"Outremont","Outremont"," 2","Montréal",N,N,"",0,475,"Sánchez","","Julia","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,17
24054,"Outremont","Outremont"," 2","Montréal",N,N,"",0,475,"Seale","","James","People's Party","Parti populaire",N,N,0
24054,"Outremont","Outremont"," 3","Montréal",N,N,"",0,462,"Barrett","","William","Independent","Indépendant(e)",N,N,0
24054,"Outremont","Outremont"," 3","Montréal",N,N,"",0,462,"Bendayan","","Rachel","Liberal","Libéral",N,Y,16
24054,"Outremont","Outremont"," 3","Montréal",N,N,"",0,462,"Duchesne","","Michel","Bloc Québécois","Bloc Québécois",N,N,14
24054,"Outremont","Outremont"," 3","Montréal",N,N,"",0,462,"Green","","Daniel","Green Party","Parti Vert",N,N,6
24054,"Outremont","Outremont"," 3","Montréal",N,N,"",0,462,"Louras","","Jasmine","Conservative","Conservateur",N,N,0
24054,"Outremont","Outremont"," 3","Montréal",N,N,"",0,462,"Sánchez","","Julia","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,15
24054,"Outremont","Outremont"," 3","Montréal",N,N,"",0,462,"Seale","","James","People's Party","Parti populaire",N,N,2
24054,"Outremont","Outremont"," 4","Montréal",N,N,"",1,533,"Barrett","","William","Independent","Indépendant(e)",N,N,0
24054,"Outremont","Outremont"," 4","Montréal",N,N,"",1,533,"Bendayan","","Rachel","Liberal","Libéral",N,Y,20
