Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35119,"York--Simcoe","York--Simcoe"," 1","Chippewas of Georgina Island First Nation",N,N,"",0,189,"Baxter","","Dorian","PC Party","Parti PC",N,N,0
35119,"York--Simcoe","York--Simcoe"," 1","Chippewas of Georgina Island First Nation",N,N,"",0,189,"Davidson","","Scot","Conservative","Conservateur",N,Y,27
35119,"York--Simcoe","York--Simcoe"," 1","Chippewas of Georgina Island First Nation",N,N,"",0,189,"Geurts","","Robert","People's Party","Parti populaire",N,N,0
35119,"York--Simcoe","York--Simcoe"," 1","Chippewas of Georgina Island First Nation",N,N,"",0,189,"Komar","","Keith Dean","Libertarian","Libertarien",N,N,0
35119,"York--Simcoe","York--Simcoe"," 1","Chippewas of Georgina Island First Nation",N,N,"",0,189,"Lund","","Mathew","Green Party","Parti Vert",N,N,1
35119,"York--Simcoe","York--Simcoe"," 1","Chippewas of Georgina Island First Nation",N,N,"",0,189,"McLean","","Jessa","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
35119,"York--Simcoe","York--Simcoe"," 1","Chippewas of Georgina Island First Nation",N,N,"",0,189,"Suhr","","Adam","National Citizens Alliance","Alliance Nationale Citoyens",N,N,0
35119,"York--Simcoe","York--Simcoe"," 1","Chippewas of Georgina Island First Nation",N,N,"",0,189,"Tanaka","","Shaun","Liberal","Libéral",N,N,4
35119,"York--Simcoe","York--Simcoe"," 1","Chippewas of Georgina Island First Nation",N,N,"",0,189,"Turmel","","John The Engineer","Independent","Indépendant(e)",N,N,0
35119,"York--Simcoe","York--Simcoe"," 2","Georgina",N,N,"3",0,397,"Baxter","","Dorian","PC Party","Parti PC",N,N,0
35119,"York--Simcoe","York--Simcoe"," 2","Georgina",N,N,"3",0,397,"Davidson","","Scot","Conservative","Conservateur",N,Y,0
35119,"York--Simcoe","York--Simcoe"," 2","Georgina",N,N,"3",0,397,"Geurts","","Robert","People's Party","Parti populaire",N,N,0
35119,"York--Simcoe","York--Simcoe"," 2","Georgina",N,N,"3",0,397,"Komar","","Keith Dean","Libertarian","Libertarien",N,N,0
35119,"York--Simcoe","York--Simcoe"," 2","Georgina",N,N,"3",0,397,"Lund","","Mathew","Green Party","Parti Vert",N,N,0
35119,"York--Simcoe","York--Simcoe"," 2","Georgina",N,N,"3",0,397,"McLean","","Jessa","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
35119,"York--Simcoe","York--Simcoe"," 2","Georgina",N,N,"3",0,397,"Suhr","","Adam","National Citizens Alliance","Alliance Nationale Citoyens",N,N,0
35119,"York--Simcoe","York--Simcoe"," 2","Georgina",N,N,"3",0,397,"Tanaka","","Shaun","Liberal","Libéral",N,N,0
35119,"York--Simcoe","York--Simcoe"," 2","Georgina",N,N,"3",0,397,"Turmel","","John The Engineer","Independent","Indépendant(e)",N,N,0
35119,"York--Simcoe","York--Simcoe"," 3","Georgina",N,N,"",1,409,"Baxter","","Dorian","PC Party","Parti PC",N,N,5
35119,"York--Simcoe","York--Simcoe"," 3","Georgina",N,N,"",1,409,"Davidson","","Scot","Conservative","Conservateur",N,Y,68
35119,"York--Simcoe","York--Simcoe"," 3","Georgina",N,N,"",1,409,"Geurts","","Robert","People's Party","Parti populaire",N,N,0
35119,"York--Simcoe","York--Simcoe"," 3","Georgina",N,N,"",1,409,"Komar","","Keith Dean","Libertarian","Libertarien",N,N,0
35119,"York--Simcoe","York--Simcoe"," 3","Georgina",N,N,"",1,409,"Lund","","Mathew","Green Party","Parti Vert",N,N,4
35119,"York--Simcoe","York--Simcoe"," 3","Georgina",N,N,"",1,409,"McLean","","Jessa","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,12
35119,"York--Simcoe","York--Simcoe"," 3","Georgina",N,N,"",1,409,"Suhr","","Adam","National Citizens Alliance","Alliance Nationale Citoyens",N,N,0
35119,"York--Simcoe","York--Simcoe"," 3","Georgina",N,N,"",1,409,"Tanaka","","Shaun","Liberal","Libéral",N,N,23
35119,"York--Simcoe","York--Simcoe"," 3","Georgina",N,N,"",1,409,"Turmel","","John The Engineer","Independent","Indépendant(e)",N,N,0
35119,"York--Simcoe","York--Simcoe"," 4","Georgina",N,N,"",1,466,"Baxter","","Dorian","PC Party","Parti PC",N,N,3
35119,"York--Simcoe","York--Simcoe"," 4","Georgina",N,N,"",1,466,"Davidson","","Scot","Conservative","Conservateur",N,Y,81
35119,"York--Simcoe","York--Simcoe"," 4","Georgina",N,N,"",1,466,"Geurts","","Robert","People's Party","Parti populaire",N,N,1
35119,"York--Simcoe","York--Simcoe"," 4","Georgina",N,N,"",1,466,"Komar","","Keith Dean","Libertarian","Libertarien",N,N,0
