Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Cressy,Linda Groce-Gibbons,Camille Labchuk,Benjamin Sharma,John "The Engineer" Turmel,Adam Vaughan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35095,"Trinity--Spadina/Trinity--Spadina"," 602","Toronto",167,1,39,75,3,590,2,877,
35095,"Trinity--Spadina/Trinity--Spadina"," 603","Toronto",250,7,30,18,3,257,1,566,
35095,"Trinity--Spadina/Trinity--Spadina"," 604","Toronto",226,5,37,19,2,382,2,673,
35095,"Trinity--Spadina/Trinity--Spadina"," 605","Toronto",160,1,42,18,1,295,1,518,
35095,"Trinity--Spadina/Trinity--Spadina"," 606","Toronto",214,2,24,12,0,417,0,669,
35095,"Trinity--Spadina/Trinity--Spadina"," 607","Toronto",187,1,22,11,0,245,0,466,
35095,"Trinity--Spadina/Trinity--Spadina"," 608","Toronto",118,1,18,20,0,237,0,394,
35095,"Trinity--Spadina/Trinity--Spadina"," 609","Toronto",56,3,9,25,3,130,0,226,
35095,"Trinity--Spadina/Trinity--Spadina"," 610","Toronto",53,0,14,38,3,205,0,313,
35095,"Trinity--Spadina/Trinity--Spadina"," 611","Toronto",100,1,12,5,2,209,1,330,
35095,"Trinity--Spadina/Trinity--Spadina"," 612","Toronto",17,0,0,3,0,49,0,69,
35095,"Trinity--Spadina/Trinity--Spadina"," 613","Toronto",54,0,6,34,0,227,1,322,
35095,"Trinity--Spadina/Trinity--Spadina",,Group 1/Groupe 1,12,0,3,2,0,7,0,24,127
35095,"Trinity--Spadina/Trinity--Spadina",,Group 2/Groupe 2,671,5,47,51,6,757,15,1552,
