Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Deheer,Kyle Harrietha,Lori McDaniel,Tim Moen,David Yurdiga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 12","Calling Lake ",1,16,5,1,16,0,39,447
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 13","Fitzgerald",Merged with No. 15/Fusionné avec le nº 15,,,,,,,61
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 14","Fort Chipewyan",Merged with No. 15/Fusionné avec le nº 15,,,,,,,334
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 15","Fort Chipewyan",6,62,5,0,4,0,77,188
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 16","Fort McKay",11,51,11,2,2,0,77,318
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 17","Saprae Creek",2,37,6,1,80,0,126,666
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 18","Anzac ",2,37,10,3,46,0,98,695
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 19","Janvier--Chard",0,6,1,0,2,0,9,211
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 20","Conklin",4,25,1,0,4,0,34,199
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21A","Fort McMurray",1,32,5,3,25,0,66,561
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21B","Fort McMurray",Merged with No. 21-7A/Fusionné avec le nº 21-7A,,,,,,,8
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-1","Wood Buffalo",1,24,2,1,33,0,61,709
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-2","Wood Buffalo",0,44,8,2,23,1,78,973
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-3","Wood Buffalo",1,21,1,0,7,0,30,367
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-4","Wood Buffalo",0,19,3,0,22,0,44,389
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-5","Wood Buffalo",2,28,3,4,25,0,62,487
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-6","Wood Buffalo",0,33,3,0,9,1,46,487
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-7A","Wood Buffalo",2,25,6,3,36,0,72,964
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-7B","Wood Buffalo",1,50,9,0,24,0,84,1028
