Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Deheer,Kyle Harrietha,Lori McDaniel,Tim Moen,David Yurdiga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 52","Fort McMurray",1,28,16,2,31,1,79,532
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 53","Fort McMurray",4,38,22,7,36,0,107,472
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 54","Fort McMurray",0,21,8,0,27,0,56,449
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 55","Fort McMurray",1,19,7,8,20,0,55,477
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 56","Fort McMurray",Void/Supprimé,,,,,,,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 57","Fort McMurray",0,8,0,2,0,0,10,248
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 58","Fort McMurray",2,23,4,2,13,0,44,591
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 59","Fort McMurray",0,15,3,5,5,0,28,351
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 60","Fort McMurray",0,25,5,0,13,0,43,463
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 61","Fort McMurray",0,15,1,0,8,0,24,398
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 62","Fort McMurray",0,17,3,0,8,0,28,415
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 63","Fort McMurray",1,31,11,2,23,0,68,394
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 64","Fort McMurray",0,13,2,1,4,0,20,480
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 65","Fort McMurray",1,14,1,2,9,1,28,456
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 66","Fort McMurray",0,38,11,2,21,1,73,477
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 67","Fort McMurray",2,12,5,1,10,0,30,277
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 68","Fort McMurray",0,26,7,5,15,0,53,513
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 68-1","Wood Buffalo",0,23,1,1,10,0,35,601
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 69","Fort McMurray",1,21,7,0,20,0,49,437
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 70","Fort McMurray",2,13,7,2,24,0,48,418
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 71","Fort McMurray",0,49,17,2,10,0,78,506
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 72","Fort McMurray",0,7,6,2,11,0,26,350
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 72-1","Wood Buffalo",2,13,9,2,17,0,43,470
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 72-2","Wood Buffalo",0,16,7,3,12,0,38,230
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 73","Fort McMurray",Merged with No. 72-2/Fusionné avec le nº 72-2,,,,,,,436
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 74","Fort McMurray",1,13,5,2,10,0,31,381
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 75","Fort McMurray",Merged with No. 76/Fusionné avec le nº 76,,,,,,,481
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 76","Fort McMurray",1,35,17,6,30,0,89,398
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 77","Fort McMurray",0,23,13,0,31,1,68,443
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 78","Fort McMurray",2,48,9,4,35,0,98,317
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 79","Fort McMurray",1,25,8,2,21,0,57,364
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 80","Fort McMurray",Merged with No. 63/Fusionné avec le nº 63,,,,,,,360
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 80-1","Amber Valley",2,16,5,0,12,0,35,294
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 81","Fort McMurray",Merged with No. 78/Fusionné avec le nº 78,,,,,,,463
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 82","Fort McMurray",2,20,5,2,13,0,42,552
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 83","Fort McMurray",Merged with No. 86/Fusionné avec le nº 86,,,,,,,572
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 84","Fort McMurray",0,18,12,3,9,0,42,534
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 85","Fort McMurray",1,28,8,2,13,0,52,249
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 85-1","Fort McMurray",0,12,6,1,13,0,32,476
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 86","Fort McMurray",0,24,3,3,20,0,50,388
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 86-1","Wood Buffalo",Merged with No. 85/Fusionné avec le nº 85,,,,,,,308
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 87","Prairie Echo ",0,10,9,1,17,1,38,246
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 88","Peavine",3,12,6,1,0,0,22,353
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 89","Gift Lake ",2,11,0,1,10,1,25,365
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 90","Grouard ",3,10,8,1,5,0,27,312
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 91","Triangle",0,2,9,1,47,1,60,367
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 92","High Prairie",3,7,7,0,13,1,31,363
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 93","High Prairie",2,11,4,1,18,0,36,422
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 94","High Prairie",1,8,6,0,11,0,26,476
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 95","High Prairie",2,12,3,2,20,0,39,310
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 96","High Prairie",4,9,6,0,25,0,44,321
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 97","High Prairie",0,2,2,0,7,0,11,99
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 98","High Prairie",3,5,8,0,31,0,47,330
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 99","Enilda",6,13,12,0,27,0,58,382
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 100","Sucker Creek 150A",0,66,2,0,6,0,74,334
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 101","Big Lakes",Merged with No. 102/Fusionné avec le nº 102,,,,,,,199
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 102","Big Lakes",3,1,4,2,14,0,24,75
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 103","East Prairie Metis Settlement",1,31,0,1,1,0,34,195
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 104","Joussard",4,16,19,0,28,0,67,376
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 105","Drift Pile River 150 ",5,30,5,0,3,0,43,402
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 106","Faust",2,16,4,0,22,0,44,244
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 107","Swan River 150E",1,2,3,0,9,0,15,198
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 108","Swan River 150E",0,4,1,0,9,0,14,65
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 109","Kinuso",0,7,4,0,10,0,21,209
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 110","Big Lakes",0,0,2,1,24,0,27,228
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 111","Widewater",5,14,1,3,59,0,82,604
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 112","Slave Lake",0,1,1,0,10,1,13,308
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 113","Slave Lake",2,11,11,0,32,0,56,339
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 114","Slave Lake",1,8,4,1,18,1,33,391
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 115","Slave Lake",3,17,3,0,16,1,40,348
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 116","Slave Lake",0,6,3,0,15,0,24,283
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 117","Slave Lake",2,6,5,0,32,0,45,480
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 118","Slave Lake",1,20,9,2,25,0,57,483
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 119","Slave Lake",1,25,9,0,23,0,58,745
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 120","Slave Lake",2,14,3,1,17,0,37,300
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 121","Slave Lake",3,8,3,1,13,0,28,440
