Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 1","Glenevis",N,N,"",0,278,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 1","Glenevis",N,N,"",0,278,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 1","Glenevis",N,N,"",0,278,"Gold","","Brian","Liberal","Libéral",N,N,1
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 1","Glenevis",N,N,"",0,278,"Lloyd","","Dane","Conservative","Conservateur",N,Y,66
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 2A","Rich Valley",N,N,"",0,275,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 2A","Rich Valley",N,N,"",0,275,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 2A","Rich Valley",N,N,"",0,275,"Gold","","Brian","Liberal","Libéral",N,N,5
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 2A","Rich Valley",N,N,"",0,275,"Lloyd","","Dane","Conservative","Conservateur",N,Y,56
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 2B","Rich Valley",N,N,"",0,317,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 2B","Rich Valley",N,N,"",0,317,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,5
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 2B","Rich Valley",N,N,"",0,317,"Gold","","Brian","Liberal","Libéral",N,N,4
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 2B","Rich Valley",N,N,"",0,317,"Lloyd","","Dane","Conservative","Conservateur",N,Y,63
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 3","Ross Haven Rural",N,N,"",0,152,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 3","Ross Haven Rural",N,N,"",0,152,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 3","Ross Haven Rural",N,N,"",0,152,"Gold","","Brian","Liberal","Libéral",N,N,4
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 3","Ross Haven Rural",N,N,"",0,152,"Lloyd","","Dane","Conservative","Conservateur",N,Y,16
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 4","Ross haven Rural",Y,N,"",0,0,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 4","Ross haven Rural",Y,N,"",0,0,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 4","Ross haven Rural",Y,N,"",0,0,"Gold","","Brian","Liberal","Libéral",N,N,0
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 4","Ross haven Rural",Y,N,"",0,0,"Lloyd","","Dane","Conservative","Conservateur",N,Y,0
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 5A","Onoway",N,N,"",0,271,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,2
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 5A","Onoway",N,N,"",0,271,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 5A","Onoway",N,N,"",0,271,"Gold","","Brian","Liberal","Libéral",N,N,1
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 5A","Onoway",N,N,"",0,271,"Lloyd","","Dane","Conservative","Conservateur",N,Y,30
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 5B","Onoway",N,N,"",0,291,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 5B","Onoway",N,N,"",0,291,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 5B","Onoway",N,N,"",0,291,"Gold","","Brian","Liberal","Libéral",N,N,6
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 5B","Onoway",N,N,"",0,291,"Lloyd","","Dane","Conservative","Conservateur",N,Y,23
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 6","Noyes Crossing",N,N,"",0,523,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,4
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 6","Noyes Crossing",N,N,"",0,523,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 6","Noyes Crossing",N,N,"",0,523,"Gold","","Brian","Liberal","Libéral",N,N,3
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 6","Noyes Crossing",N,N,"",0,523,"Lloyd","","Dane","Conservative","Conservateur",N,Y,55
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 7","Sandy Lake ",N,N,"",0,269,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,3
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 7","Sandy Lake ",N,N,"",0,269,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 7","Sandy Lake ",N,N,"",0,269,"Gold","","Brian","Liberal","Libéral",N,N,3
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 7","Sandy Lake ",N,N,"",0,269,"Lloyd","","Dane","Conservative","Conservateur",N,Y,28
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 8","Onoway",N,N,"",0,288,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 8","Onoway",N,N,"",0,288,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 8","Onoway",N,N,"",0,288,"Gold","","Brian","Liberal","Libéral",N,N,1
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 8","Onoway",N,N,"",0,288,"Lloyd","","Dane","Conservative","Conservateur",N,Y,32
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 9A","Onoway",N,N,"",0,267,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,3
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 9A","Onoway",N,N,"",0,267,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 9A","Onoway",N,N,"",0,267,"Gold","","Brian","Liberal","Libéral",N,N,2
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 9A","Onoway",N,N,"",0,267,"Lloyd","","Dane","Conservative","Conservateur",N,Y,32
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 9B","Onoway",N,N,"",0,281,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 9B","Onoway",N,N,"",0,281,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 9B","Onoway",N,N,"",0,281,"Gold","","Brian","Liberal","Libéral",N,N,1
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 9B","Onoway",N,N,"",0,281,"Lloyd","","Dane","Conservative","Conservateur",N,Y,37
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 10A","Alcomdale",N,N,"",0,270,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,9
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 10A","Alcomdale",N,N,"",0,270,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 10A","Alcomdale",N,N,"",0,270,"Gold","","Brian","Liberal","Libéral",N,N,0
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 10A","Alcomdale",N,N,"",0,270,"Lloyd","","Dane","Conservative","Conservateur",N,Y,73
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 10B","Alcomdale",N,N,"",0,300,"Chauvet","","Ernest","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,3
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 10B","Alcomdale",N,N,"",0,300,"Gawreluck","","Shawna","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 10B","Alcomdale",N,N,"",0,300,"Gold","","Brian","Liberal","Libéral",N,N,6
48033,"Sturgeon River--Parkland","Sturgeon River--Parkland"," 10B","Alcomdale",N,N,"",0,300,"Lloyd","","Dane","Conservative","Conservateur",N,Y,45
