Electoral District Number,Electoral District Name,Polling Station Number,Polling Station Name,Dorian Baxter,Leslie Bory,Kevin Clarke,John Deverell,Judi Falardeau,Chrystia Freeland,Linda McQuaig,Michael Nicula,Geoff Pollock,"John ""The Engineer"" Turmel",Bahman Yazdanfar,Rejected Ballots,Total Votes,Electors
35093,Toronto Centre,60,Toronto,0,0,0,2,1,59,38,0,4,0,1,3,108,333
35093,Toronto Centre,61,Toronto,1,0,0,5,1,70,65,0,6,0,0,1,149,440
35093,Toronto Centre,62,Toronto,0,0,0,0,1,53,53,0,3,0,0,2,112,285
35093,Toronto Centre,63,Toronto,Merged with No. 455,,,,,,,,,,,,,165
35093,Toronto Centre, 64A,Toronto,2,0,0,2,0,37,41,0,5,0,0,0,87,430
35093,Toronto Centre, 64B,Toronto,2,0,0,2,0,66,31,0,2,0,0,1,104,471
35093,Toronto Centre,65,Toronto,0,0,0,6,2,103,85,0,9,0,0,0,205,631
35093,Toronto Centre, 65-1,Toronto,1,0,0,0,0,37,23,0,0,0,0,1,62,221
35093,Toronto Centre,66,Toronto,4,0,0,5,0,75,32,0,11,0,0,1,128,362
35093,Toronto Centre,67,Toronto,1,0,2,5,2,67,56,0,13,0,0,1,147,633
35093,Toronto Centre,68,Toronto,1,0,0,5,0,44,53,1,3,1,0,0,108,401
35093,Toronto Centre, 68-1A,Toronto,1,0,0,3,0,79,38,0,5,0,0,0,126,505
35093,Toronto Centre, 68-1B,Toronto,2,0,0,4,0,60,39,0,4,0,0,0,109,463
35093,Toronto Centre, 68-1C,Toronto,0,1,0,4,1,61,40,0,3,0,0,1,111,476
35093,Toronto Centre,69,Toronto,0,0,1,2,0,28,33,0,8,0,0,2,74,370
35093,Toronto Centre,70,Toronto,0,0,1,4,0,49,51,0,4,0,0,3,112,375
35093,Toronto Centre,71,Toronto,Void,,,,,,,,,,,,,
35093,Toronto Centre,72,Toronto,0,0,0,8,0,104,50,0,10,0,0,0,172,385
35093,Toronto Centre,73,Toronto,0,0,0,9,0,100,55,0,12,0,0,2,178,395
35093,Toronto Centre,74,Toronto,4,0,0,5,0,94,56,0,21,0,0,0,180,415
35093,Toronto Centre,75,Toronto,1,0,0,7,1,98,62,0,7,0,0,0,176,409
35093,Toronto Centre,76,Toronto,1,0,0,9,1,67,54,0,3,0,0,0,135,369
35093,Toronto Centre,77,Toronto,2,0,0,4,2,70,65,0,5,0,0,1,149,358
35093,Toronto Centre,78,Toronto,4,1,0,5,1,82,86,0,9,0,1,0,189,465
35093,Toronto Centre,79,Toronto,1,0,2,9,2,106,190,0,10,0,0,2,322,809
35093,Toronto Centre,80,Toronto,2,1,3,4,0,23,64,1,1,0,1,5,105,229
35093,Toronto Centre,81,Toronto,0,1,0,1,0,40,53,0,5,0,0,0,100,350
35093,Toronto Centre,82,Toronto,1,0,0,2,1,38,60,1,1,0,0,0,104,381
35093,Toronto Centre,83,Toronto,0,0,1,5,1,30,64,0,4,0,0,1,106,424
35093,Toronto Centre,84,Toronto,2,0,0,1,0,36,18,0,9,0,0,0,66,201
35093,Toronto Centre,85,Toronto,1,0,0,0,0,3,5,0,0,0,0,0,9,54
35093,Toronto Centre, 86A,Toronto,2,0,0,2,1,39,24,0,4,0,1,0,73,409
35093,Toronto Centre, 86B,Toronto,2,0,1,0,1,39,24,0,2,1,0,1,71,328
35093,Toronto Centre,87,Toronto,0,0,0,8,1,30,44,0,3,0,0,0,86,293
35093,Toronto Centre,88,Toronto,3,1,0,6,5,53,50,0,3,0,0,0,121,341
35093,Toronto Centre,89,Toronto,Merged with No. 91,,,,,,,,,,,,,70
35093,Toronto Centre,90,Toronto,Void,,,,,,,,,,,,,
35093,Toronto Centre,91,Toronto,0,0,0,2,0,25,36,0,3,0,0,1,67,162
35093,Toronto Centre, 91-1,Toronto,0,0,0,5,0,100,51,0,7,0,0,0,163,542
35093,Toronto Centre,92,Toronto,0,0,0,4,1,33,54,0,6,1,0,0,99,404
35093,Toronto Centre,93,Toronto,1,0,0,1,0,35,26,0,1,1,0,1,66,243
35093,Toronto Centre, 93-1,Toronto,0,0,0,0,1,52,47,0,4,0,0,0,104,467
35093,Toronto Centre,94,Toronto,0,0,0,0,0,6,11,0,3,0,0,0,20,155
35093,Toronto Centre,95,Toronto,0,0,1,1,0,24,34,0,2,0,0,0,62,380
35093,Toronto Centre,96,Toronto,0,0,2,4,0,23,26,0,6,0,0,1,62,252
35093,Toronto Centre,97,Toronto,1,1,2,1,0,20,25,0,3,2,0,1,56,266
35093,Toronto Centre,98,Toronto,1,1,4,6,1,75,66,1,7,0,0,5,167,442
35093,Toronto Centre,99,Toronto,2,0,0,4,0,29,24,0,1,0,0,1,61,262
35093,Toronto Centre,100,Toronto,Merged with No. 485,,,,,,,,,,,,,212
35093,Toronto Centre,101,Toronto,3,0,0,4,3,42,41,0,3,0,1,1,98,413
35093,Toronto Centre,102,Toronto,2,0,0,2,0,39,68,0,10,0,0,0,121,508
35093,Toronto Centre,103,Toronto,2,0,0,0,0,24,41,0,2,0,0,0,69,322
35093,Toronto Centre,104,Toronto,0,0,0,0,0,15,7,0,2,0,0,1,25,190
35093,Toronto Centre, 104-1A,Toronto,3,0,1,2,0,52,75,0,6,1,0,2,142,371
35093,Toronto Centre, 104-1B,Toronto,0,0,1,4,1,46,47,0,5,0,1,1,106,287
35093,Toronto Centre, 105A,Toronto,2,0,1,3,2,55,77,0,3,1,0,2,146,452
35093,Toronto Centre, 105B,Toronto,0,0,0,4,0,42,41,0,5,0,0,0,92,385
35093,Toronto Centre, 106A,Toronto,2,0,0,4,1,64,27,0,11,0,0,1,110,433
35093,Toronto Centre, 106B,Toronto,0,0,0,6,0,43,22,0,3,0,0,0,74,312
35093,Toronto Centre,107,Toronto,2,0,0,0,0,35,13,1,10,0,0,0,61,271
35093,Toronto Centre,108,Toronto,5,0,0,6,0,85,40,0,27,0,0,0,163,403
35093,Toronto Centre,109,Toronto,0,0,1,8,1,99,43,0,31,0,0,0,183,554
35093,Toronto Centre, 110A,Toronto,3,0,1,5,1,76,36,0,11,0,0,1,134,566
35093,Toronto Centre, 110B,Toronto,2,0,1,3,1,53,26,0,4,0,0,0,90,466
