event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	elected_indicator	incumbent_indicator	candidate_ed_vote_count	candidate_party_english_name	candidate_party_french_name	poll_number	polling_station_name	candidate_poll_vote_count
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	1	Chéticamp	3
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	10	Belle Côte	8
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	100	Main-à-Dieu	7
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	101	Bateston	15
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	102	Louisbourg	2
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	103	Louisbourg	11
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	104	Louisbourg	11
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	105	Trout Brook	5
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	106	Grand Mira South	8
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	107	Gabarus	5
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	108	Grand Lake Road	8
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	109	Gardiner Mines	16
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	11	Margaree Center	24
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	110	Reserve Mines	7
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	111	Reserve Mines	6
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	112	Reserve Mines	10
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	113	Reserve Mines	10
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	114	Grand Lake Road	5
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	115	Grand Lake Road	9
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	116	Grand Lake Road	8
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	117	Dominion	5
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	118	Dominion	2
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	119	Dominion	5
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	12	North East Margaree	31
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	120	Dominion	4
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	121	Dominion	2
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	122	Glace Bay	5
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	123	Glace Bay	1
3700	ED12-001	1	John	M.	Currie	M	N	N	1483	Canadian Alliance	Alliance Canadienne	124	Glace Bay	2
