Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 1","Scarborough",N,N,"",0,258,"Chang","","Brian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 1","Scarborough",N,N,"",0,258,"Coutinho","","Jude","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 1","Scarborough",N,N,"",0,258,"DiPasquale","","Michael","Green Party","Parti Vert",N,N,0
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 1","Scarborough",N,N,"",0,258,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,0
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 1","Scarborough",N,N,"",0,258,"Yip","","Jean","Liberal","Libéral",N,Y,24
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 1","Scarborough",N,N,"",0,258,"Zhu","","Tom","Independent","Indépendant",N,N,0
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 1","Scarborough",N,N,"",0,258,"Zou","","Dasong","Conservative","Conservateur",N,N,26
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 2","Scarborough",N,N,"",2,435,"Chang","","Brian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 2","Scarborough",N,N,"",2,435,"Coutinho","","Jude","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 2","Scarborough",N,N,"",2,435,"DiPasquale","","Michael","Green Party","Parti Vert",N,N,1
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 2","Scarborough",N,N,"",2,435,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,0
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 2","Scarborough",N,N,"",2,435,"Yip","","Jean","Liberal","Libéral",N,Y,46
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 2","Scarborough",N,N,"",2,435,"Zhu","","Tom","Independent","Indépendant",N,N,2
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 2","Scarborough",N,N,"",2,435,"Zou","","Dasong","Conservative","Conservateur",N,N,36
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 3","Scarborough",N,N,"",2,463,"Chang","","Brian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 3","Scarborough",N,N,"",2,463,"Coutinho","","Jude","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,0
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 3","Scarborough",N,N,"",2,463,"DiPasquale","","Michael","Green Party","Parti Vert",N,N,1
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 3","Scarborough",N,N,"",2,463,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,0
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 3","Scarborough",N,N,"",2,463,"Yip","","Jean","Liberal","Libéral",N,Y,54
35093,"Scarborough--Agincourt","Scarborough--Agincourt"," 3","Scarborough",N,N,"",2,463,"Zhu","","Tom","Independent","Indépendant",N,N,0
