Electoral District Number/NumÇro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/NumÇro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josh Borenstein,Celina Caesar-Chavannes,Craig Cameron,Trish McAuliffe,Pat Perkins,"John ""The Engineer"" Turmel",Rejected Ballots/Bulletins rejetÇs,Total Votes/Total des votes,Electors/êlecteurs
35099,Whitby--Oshawa/Whitby--Oshawa,600,Whitby,0,163,7,27,332,0,1,530,
35099,Whitby--Oshawa/Whitby--Oshawa,601,Whitby,0,104,2,24,286,5,1,422,
35099,Whitby--Oshawa/Whitby--Oshawa,602,Whitby,1,127,5,14,163,1,0,311,
35099,Whitby--Oshawa/Whitby--Oshawa,603,Whitby,1,120,1,20,152,2,1,297,
35099,Whitby--Oshawa/Whitby--Oshawa,604,Whitby,1,96,1,20,98,0,0,216,
35099,Whitby--Oshawa/Whitby--Oshawa,605,Whitby,1,115,0,12,198,0,1,327,
35099,Whitby--Oshawa/Whitby--Oshawa,606,Whitby,1,126,7,37,262,3,2,438,
35099,Whitby--Oshawa/Whitby--Oshawa,607,Whitby,0,107,2,21,227,1,0,358,
35099,Whitby--Oshawa/Whitby--Oshawa,608,Whitby,0,187,7,34,208,2,6,444,
35099,Whitby--Oshawa/Whitby--Oshawa,609,Whitby,1,88,5,20,121,0,0,235,
35099,Whitby--Oshawa/Whitby--Oshawa,610,Oshawa,1,109,6,35,196,2,5,354,
35099,Whitby--Oshawa/Whitby--Oshawa,611,Oshawa,0,133,6,30,194,1,2,366,
35099,Whitby--Oshawa/Whitby--Oshawa,612,Oshawa,0,40,3,17,121,1,0,182,
35099,Whitby--Oshawa/Whitby--Oshawa,613,Oshawa,0,84,1,60,217,0,2,364,
35099,Whitby--Oshawa/Whitby--Oshawa,614,Oshawa,1,89,5,60,146,2,1,304,
35099,Whitby--Oshawa/Whitby--Oshawa,,Group 1/Groupe1,1,7,1,2,7,1,1,20,30
35099,Whitby--Oshawa/Whitby--Oshawa,,Group 2/Groupe2,1,182,11,65,285,1,1,546,
