Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35078,"Ottawa--Vanier","Ottawa--Vanier"," 5","Gloucester",N,N,"",3,389,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,15
35078,"Ottawa--Vanier","Ottawa--Vanier"," 5","Gloucester",N,N,"",3,389,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,29
35078,"Ottawa--Vanier","Ottawa--Vanier"," 5","Gloucester",N,N,"",3,389,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 5","Gloucester",N,N,"",3,389,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 5","Gloucester",N,N,"",3,389,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 6","Gloucester",N,N,"",0,439,"Dookeran","","Nira","Green Party","Parti Vert",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 6","Gloucester",N,N,"",0,439,"Fortier","","Mona","Liberal","Libéral",N,Y,81
35078,"Ottawa--Vanier","Ottawa--Vanier"," 6","Gloucester",N,N,"",0,439,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,24
35078,"Ottawa--Vanier","Ottawa--Vanier"," 6","Gloucester",N,N,"",0,439,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,40
35078,"Ottawa--Vanier","Ottawa--Vanier"," 6","Gloucester",N,N,"",0,439,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 6","Gloucester",N,N,"",0,439,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 6","Gloucester",N,N,"",0,439,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 7","Gloucester",N,N,"",0,367,"Dookeran","","Nira","Green Party","Parti Vert",N,N,11
35078,"Ottawa--Vanier","Ottawa--Vanier"," 7","Gloucester",N,N,"",0,367,"Fortier","","Mona","Liberal","Libéral",N,Y,64
35078,"Ottawa--Vanier","Ottawa--Vanier"," 7","Gloucester",N,N,"",0,367,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,31
35078,"Ottawa--Vanier","Ottawa--Vanier"," 7","Gloucester",N,N,"",0,367,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,26
35078,"Ottawa--Vanier","Ottawa--Vanier"," 7","Gloucester",N,N,"",0,367,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 7","Gloucester",N,N,"",0,367,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 7","Gloucester",N,N,"",0,367,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 8","Gloucester",N,N,"",0,298,"Dookeran","","Nira","Green Party","Parti Vert",N,N,2
35078,"Ottawa--Vanier","Ottawa--Vanier"," 8","Gloucester",N,N,"",0,298,"Fortier","","Mona","Liberal","Libéral",N,Y,35
35078,"Ottawa--Vanier","Ottawa--Vanier"," 8","Gloucester",N,N,"",0,298,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,15
35078,"Ottawa--Vanier","Ottawa--Vanier"," 8","Gloucester",N,N,"",0,298,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,33
35078,"Ottawa--Vanier","Ottawa--Vanier"," 8","Gloucester",N,N,"",0,298,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 8","Gloucester",N,N,"",0,298,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 8","Gloucester",N,N,"",0,298,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 9","Gloucester",N,N,"",0,370,"Dookeran","","Nira","Green Party","Parti Vert",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 9","Gloucester",N,N,"",0,370,"Fortier","","Mona","Liberal","Libéral",N,Y,47
35078,"Ottawa--Vanier","Ottawa--Vanier"," 9","Gloucester",N,N,"",0,370,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,40
35078,"Ottawa--Vanier","Ottawa--Vanier"," 9","Gloucester",N,N,"",0,370,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,26
35078,"Ottawa--Vanier","Ottawa--Vanier"," 9","Gloucester",N,N,"",0,370,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 9","Gloucester",N,N,"",0,370,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 9","Gloucester",N,N,"",0,370,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 10","Gloucester",N,N,"",0,385,"Dookeran","","Nira","Green Party","Parti Vert",N,N,9
35078,"Ottawa--Vanier","Ottawa--Vanier"," 10","Gloucester",N,N,"",0,385,"Fortier","","Mona","Liberal","Libéral",N,Y,45
35078,"Ottawa--Vanier","Ottawa--Vanier"," 10","Gloucester",N,N,"",0,385,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,26
35078,"Ottawa--Vanier","Ottawa--Vanier"," 10","Gloucester",N,N,"",0,385,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,27
35078,"Ottawa--Vanier","Ottawa--Vanier"," 10","Gloucester",N,N,"",0,385,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,2
35078,"Ottawa--Vanier","Ottawa--Vanier"," 10","Gloucester",N,N,"",0,385,"Wilson","","Christina","Independent","Indépendant",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 10","Gloucester",N,N,"",0,385,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 11","Gloucester",N,N,"",0,472,"Dookeran","","Nira","Green Party","Parti Vert",N,N,4
35078,"Ottawa--Vanier","Ottawa--Vanier"," 11","Gloucester",N,N,"",0,472,"Fortier","","Mona","Liberal","Libéral",N,Y,91
35078,"Ottawa--Vanier","Ottawa--Vanier"," 11","Gloucester",N,N,"",0,472,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,39
35078,"Ottawa--Vanier","Ottawa--Vanier"," 11","Gloucester",N,N,"",0,472,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,39
35078,"Ottawa--Vanier","Ottawa--Vanier"," 11","Gloucester",N,N,"",0,472,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,3
35078,"Ottawa--Vanier","Ottawa--Vanier"," 11","Gloucester",N,N,"",0,472,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 11","Gloucester",N,N,"",0,472,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 12","Gloucester",N,N,"",0,380,"Dookeran","","Nira","Green Party","Parti Vert",N,N,6
35078,"Ottawa--Vanier","Ottawa--Vanier"," 12","Gloucester",N,N,"",0,380,"Fortier","","Mona","Liberal","Libéral",N,Y,62
35078,"Ottawa--Vanier","Ottawa--Vanier"," 12","Gloucester",N,N,"",0,380,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,38
35078,"Ottawa--Vanier","Ottawa--Vanier"," 12","Gloucester",N,N,"",0,380,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,29
35078,"Ottawa--Vanier","Ottawa--Vanier"," 12","Gloucester",N,N,"",0,380,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 12","Gloucester",N,N,"",0,380,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 12","Gloucester",N,N,"",0,380,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
