Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24068,"Saint-Laurent","Saint-Laurent"," 1","St. Laurent",N,N,"",0,415,"Auclair","","Mathieu","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,7
24068,"Saint-Laurent","Saint-Laurent"," 1","St. Laurent",N,N,"",0,415,"Blais-Leduc","","Chinook","Rhinoceros","Rhinocéros",N,N,0
24068,"Saint-Laurent","Saint-Laurent"," 1","St. Laurent",N,N,"",0,415,"Fayad","","William","Bloc Québécois","Bloc Québécois",N,N,2
24068,"Saint-Laurent","Saint-Laurent"," 1","St. Laurent",N,N,"",0,415,"Green","","Daniel","Green Party","Parti Vert",N,N,2
24068,"Saint-Laurent","Saint-Laurent"," 1","St. Laurent",N,N,"",0,415,"Lambropoulos","","Emmanuella","Liberal","Libéral",N,Y,43
24068,"Saint-Laurent","Saint-Laurent"," 1","St. Laurent",N,N,"",0,415,"Yu","","Jimmy","Conservative","Conservateur",N,N,9
24068,"Saint-Laurent","Saint-Laurent"," 2","St. Laurent",N,N,"",2,431,"Auclair","","Mathieu","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
24068,"Saint-Laurent","Saint-Laurent"," 2","St. Laurent",N,N,"",2,431,"Blais-Leduc","","Chinook","Rhinoceros","Rhinocéros",N,N,1
24068,"Saint-Laurent","Saint-Laurent"," 2","St. Laurent",N,N,"",2,431,"Fayad","","William","Bloc Québécois","Bloc Québécois",N,N,3
24068,"Saint-Laurent","Saint-Laurent"," 2","St. Laurent",N,N,"",2,431,"Green","","Daniel","Green Party","Parti Vert",N,N,3
24068,"Saint-Laurent","Saint-Laurent"," 2","St. Laurent",N,N,"",2,431,"Lambropoulos","","Emmanuella","Liberal","Libéral",N,Y,74
24068,"Saint-Laurent","Saint-Laurent"," 2","St. Laurent",N,N,"",2,431,"Yu","","Jimmy","Conservative","Conservateur",N,N,9
24068,"Saint-Laurent","Saint-Laurent"," 3","St. Laurent",N,N,"2",0,162,"Auclair","","Mathieu","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
24068,"Saint-Laurent","Saint-Laurent"," 3","St. Laurent",N,N,"2",0,162,"Blais-Leduc","","Chinook","Rhinoceros","Rhinocéros",N,N,0
24068,"Saint-Laurent","Saint-Laurent"," 3","St. Laurent",N,N,"2",0,162,"Fayad","","William","Bloc Québécois","Bloc Québécois",N,N,0
24068,"Saint-Laurent","Saint-Laurent"," 3","St. Laurent",N,N,"2",0,162,"Green","","Daniel","Green Party","Parti Vert",N,N,0
24068,"Saint-Laurent","Saint-Laurent"," 3","St. Laurent",N,N,"2",0,162,"Lambropoulos","","Emmanuella","Liberal","Libéral",N,Y,0
24068,"Saint-Laurent","Saint-Laurent"," 3","St. Laurent",N,N,"2",0,162,"Yu","","Jimmy","Conservative","Conservateur",N,N,0
24068,"Saint-Laurent","Saint-Laurent"," 4A","St. Laurent",N,N,"",2,433,"Auclair","","Mathieu","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
24068,"Saint-Laurent","Saint-Laurent"," 4A","St. Laurent",N,N,"",2,433,"Blais-Leduc","","Chinook","Rhinoceros","Rhinocéros",N,N,0
24068,"Saint-Laurent","Saint-Laurent"," 4A","St. Laurent",N,N,"",2,433,"Fayad","","William","Bloc Québécois","Bloc Québécois",N,N,3
24068,"Saint-Laurent","Saint-Laurent"," 4A","St. Laurent",N,N,"",2,433,"Green","","Daniel","Green Party","Parti Vert",N,N,3
24068,"Saint-Laurent","Saint-Laurent"," 4A","St. Laurent",N,N,"",2,433,"Lambropoulos","","Emmanuella","Liberal","Libéral",N,Y,62
24068,"Saint-Laurent","Saint-Laurent"," 4A","St. Laurent",N,N,"",2,433,"Yu","","Jimmy","Conservative","Conservateur",N,N,9
24068,"Saint-Laurent","Saint-Laurent"," 4B","St. Laurent",N,N,"",1,413,"Auclair","","Mathieu","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
24068,"Saint-Laurent","Saint-Laurent"," 4B","St. Laurent",N,N,"",1,413,"Blais-Leduc","","Chinook","Rhinoceros","Rhinocéros",N,N,0
24068,"Saint-Laurent","Saint-Laurent"," 4B","St. Laurent",N,N,"",1,413,"Fayad","","William","Bloc Québécois","Bloc Québécois",N,N,2
24068,"Saint-Laurent","Saint-Laurent"," 4B","St. Laurent",N,N,"",1,413,"Green","","Daniel","Green Party","Parti Vert",N,N,3
24068,"Saint-Laurent","Saint-Laurent"," 4B","St. Laurent",N,N,"",1,413,"Lambropoulos","","Emmanuella","Liberal","Libéral",N,Y,66
24068,"Saint-Laurent","Saint-Laurent"," 4B","St. Laurent",N,N,"",1,413,"Yu","","Jimmy","Conservative","Conservateur",N,N,8
24068,"Saint-Laurent","Saint-Laurent"," 5","St. Laurent",N,N,"",1,498,"Auclair","","Mathieu","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,10
24068,"Saint-Laurent","Saint-Laurent"," 5","St. Laurent",N,N,"",1,498,"Blais-Leduc","","Chinook","Rhinoceros","Rhinocéros",N,N,1
24068,"Saint-Laurent","Saint-Laurent"," 5","St. Laurent",N,N,"",1,498,"Fayad","","William","Bloc Québécois","Bloc Québécois",N,N,5
24068,"Saint-Laurent","Saint-Laurent"," 5","St. Laurent",N,N,"",1,498,"Green","","Daniel","Green Party","Parti Vert",N,N,3
24068,"Saint-Laurent","Saint-Laurent"," 5","St. Laurent",N,N,"",1,498,"Lambropoulos","","Emmanuella","Liberal","Libéral",N,Y,57
24068,"Saint-Laurent","Saint-Laurent"," 5","St. Laurent",N,N,"",1,498,"Yu","","Jimmy","Conservative","Conservateur",N,N,10
24068,"Saint-Laurent","Saint-Laurent"," 6","St. Laurent",N,N,"",5,460,"Auclair","","Mathieu","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
24068,"Saint-Laurent","Saint-Laurent"," 6","St. Laurent",N,N,"",5,460,"Blais-Leduc","","Chinook","Rhinoceros","Rhinocéros",N,N,0
24068,"Saint-Laurent","Saint-Laurent"," 6","St. Laurent",N,N,"",5,460,"Fayad","","William","Bloc Québécois","Bloc Québécois",N,N,6
24068,"Saint-Laurent","Saint-Laurent"," 6","St. Laurent",N,N,"",5,460,"Green","","Daniel","Green Party","Parti Vert",N,N,5
24068,"Saint-Laurent","Saint-Laurent"," 6","St. Laurent",N,N,"",5,460,"Lambropoulos","","Emmanuella","Liberal","Libéral",N,Y,35
24068,"Saint-Laurent","Saint-Laurent"," 6","St. Laurent",N,N,"",5,460,"Yu","","Jimmy","Conservative","Conservateur",N,N,4
