Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
48008,"Calgary Midnapore","Calgary Midnapore"," 1","Calgary",N,N,"",1,441,"Brown","","Haley","Liberal","Libéral",N,N,20
48008,"Calgary Midnapore","Calgary Midnapore"," 1","Calgary",N,N,"",1,441,"Chawla","","Kulbir Singh","National Advancement","Avancement National",N,N,0
48008,"Calgary Midnapore","Calgary Midnapore"," 1","Calgary",N,N,"",1,441,"Heather","","Larry R.","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
48008,"Calgary Midnapore","Calgary Midnapore"," 1","Calgary",N,N,"",1,441,"Heffernan","","Holly","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,5
48008,"Calgary Midnapore","Calgary Midnapore"," 1","Calgary",N,N,"",1,441,"Kusie","","Stephanie","Conservative","Conservateur",N,Y,78
48008,"Calgary Midnapore","Calgary Midnapore"," 1","Calgary",N,N,"",1,441,"Zedic","","Ryan","Green Party","Parti Vert",N,N,8
48008,"Calgary Midnapore","Calgary Midnapore"," 2","Calgary",N,N,"",1,358,"Brown","","Haley","Liberal","Libéral",N,N,15
48008,"Calgary Midnapore","Calgary Midnapore"," 2","Calgary",N,N,"",1,358,"Chawla","","Kulbir Singh","National Advancement","Avancement National",N,N,0
48008,"Calgary Midnapore","Calgary Midnapore"," 2","Calgary",N,N,"",1,358,"Heather","","Larry R.","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
48008,"Calgary Midnapore","Calgary Midnapore"," 2","Calgary",N,N,"",1,358,"Heffernan","","Holly","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
48008,"Calgary Midnapore","Calgary Midnapore"," 2","Calgary",N,N,"",1,358,"Kusie","","Stephanie","Conservative","Conservateur",N,Y,24
48008,"Calgary Midnapore","Calgary Midnapore"," 2","Calgary",N,N,"",1,358,"Zedic","","Ryan","Green Party","Parti Vert",N,N,0
48008,"Calgary Midnapore","Calgary Midnapore"," 3","Calgary",N,N,"",0,390,"Brown","","Haley","Liberal","Libéral",N,N,28
48008,"Calgary Midnapore","Calgary Midnapore"," 3","Calgary",N,N,"",0,390,"Chawla","","Kulbir Singh","National Advancement","Avancement National",N,N,1
48008,"Calgary Midnapore","Calgary Midnapore"," 3","Calgary",N,N,"",0,390,"Heather","","Larry R.","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,8
48008,"Calgary Midnapore","Calgary Midnapore"," 3","Calgary",N,N,"",0,390,"Heffernan","","Holly","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,7
48008,"Calgary Midnapore","Calgary Midnapore"," 3","Calgary",N,N,"",0,390,"Kusie","","Stephanie","Conservative","Conservateur",N,Y,82
48008,"Calgary Midnapore","Calgary Midnapore"," 3","Calgary",N,N,"",0,390,"Zedic","","Ryan","Green Party","Parti Vert",N,N,1
48008,"Calgary Midnapore","Calgary Midnapore"," 4","Calgary",N,N,"",1,380,"Brown","","Haley","Liberal","Libéral",N,N,13
48008,"Calgary Midnapore","Calgary Midnapore"," 4","Calgary",N,N,"",1,380,"Chawla","","Kulbir Singh","National Advancement","Avancement National",N,N,0
48008,"Calgary Midnapore","Calgary Midnapore"," 4","Calgary",N,N,"",1,380,"Heather","","Larry R.","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
48008,"Calgary Midnapore","Calgary Midnapore"," 4","Calgary",N,N,"",1,380,"Heffernan","","Holly","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
48008,"Calgary Midnapore","Calgary Midnapore"," 4","Calgary",N,N,"",1,380,"Kusie","","Stephanie","Conservative","Conservateur",N,Y,90
48008,"Calgary Midnapore","Calgary Midnapore"," 4","Calgary",N,N,"",1,380,"Zedic","","Ryan","Green Party","Parti Vert",N,N,3
48008,"Calgary Midnapore","Calgary Midnapore"," 5","Calgary",N,N,"",1,407,"Brown","","Haley","Liberal","Libéral",N,N,22
48008,"Calgary Midnapore","Calgary Midnapore"," 5","Calgary",N,N,"",1,407,"Chawla","","Kulbir Singh","National Advancement","Avancement National",N,N,0
48008,"Calgary Midnapore","Calgary Midnapore"," 5","Calgary",N,N,"",1,407,"Heather","","Larry R.","Christian Heritage Party","Parti de l'Héritage Chrétien",N,N,1
