Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Armstrong,Mark Austin,Jason Blanch,Jim Burrows,Kate Graves,Jim Hnatiuk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,503,Mobile poll/Bureau itinérant,37,5,0,19,1,0,2,64,138
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,600,Maccan,115,30,5,27,0,0,1,178,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,601,Amherst,181,62,27,79,1,3,0,353,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,602,Oxford,66,8,1,24,0,0,0,99,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,603,Springhill,167,28,8,70,1,2,3,279,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,604,Pugwash,82,37,5,27,0,3,2,156,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,605,Tatamagouche,141,32,3,63,1,2,1,243,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,606,Parrsboro,66,26,1,38,0,4,1,136,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,607,Bass River,49,17,1,13,0,2,0,82,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,608,Onslow,195,52,5,74,4,7,0,337,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,609,Truro,54,26,0,37,1,3,0,121,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,610,Truro,223,73,0,93,0,6,2,397,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,611,Bible Hill,179,43,1,66,0,1,1,291,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,612,Stewiacke,75,42,1,37,2,6,1,164,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,613,Middle Musquodoboit,40,18,1,8,1,8,0,76,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,614,Dutch Settlement,11,8,1,7,2,7,0,36,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,615,Truro,177,62,3,59,1,3,2,307,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,616,Truro--Bible Hill,88,26,1,36,0,2,0,153,
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,,Group 1/Groupe 1,19,6,4,9,0,0,1,39,433
12007,Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley,,Group 2/Groupe 2,272,79,10,127,1,6,2,497,
